facility_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,membership_role,assignment_confidence,evidence_rule_id,evidence_url,project_key,project_id
CVY_211E6081,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2127F60D,Local/regional public,Consolidated Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Consolidated Irrigation District|||,PRJ_6C69776A
CVY_214E402D,Local/regional public,Natomas conveyance system,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Natomas conveyance system|||,PRJ_0C2B8A54
CVY_217E14F1,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_21846CEA,Local/regional public,Central Coast Water Authority,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Central Coast Water Authority|||,PRJ_51D358A8
CVY_21CDAFA6,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_21CEB63E,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2223C3DF,Local/regional public,Fresno Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Fresno Irrigation District|||,PRJ_3338F459
CVY_2256A365,Local/regional public,Sutter-area conveyance system,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Sutter-area conveyance system|||,PRJ_43221E17
CVY_23062076,CVP,Central Valley Project,San Felipe Division,Pacheco conveyance,,San Felipe Division > Pacheco conveyance,facility,authoritative_crosswalk,CVP_SAN_FELIPE_PACHECO,https://www.usbr.gov/projects/index.php?id=392,CVP|Central Valley Project|San Felipe Division|Pacheco conveyance|,PRJ_17BBEC92
CVY_23062078,CVP,Central Valley Project,San Felipe Division,Pacheco conveyance,,San Felipe Division > Pacheco conveyance,facility,authoritative_crosswalk,CVP_SAN_FELIPE_PACHECO,https://www.usbr.gov/projects/index.php?id=392,CVP|Central Valley Project|San Felipe Division|Pacheco conveyance|,PRJ_17BBEC92
CVY_237D5E68,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_240A1128,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_24434C78,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_24F9C6E7,Local/regional public,Central California Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Central California Irrigation District|||,PRJ_293FE57F
CVY_25039264,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2530212C,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_25725366,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_258CA200,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_25A76ECB,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_25BBB6F6,SWP,State Water Project,California Aqueduct,East Branch,,California Aqueduct > East Branch,facility,authoritative_crosswalk,SWP_EAST_BRANCH,,SWP|State Water Project|California Aqueduct|East Branch|,PRJ_647CA77E
CVY_25BE0540,Other Reclamation,Klamath Project,,,,,facility,authoritative_crosswalk,BOR_KLAMATH,https://www.usbr.gov/projects/index.php?id=470,Other Reclamation|Klamath Project|||,PRJ_79BDE48C
CVY_26074D11,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_262C08B2,CVP,Central Valley Project,Friant Division,Friant-Kern Canal,,Friant Division > Friant-Kern Canal,facility,authoritative_crosswalk,CVP_FRIANT_FKC,https://www.usbr.gov/projects/index.php?id=341,CVP|Central Valley Project|Friant Division|Friant-Kern Canal|,PRJ_13D9E3CA
CVY_26511F23,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_267582B2,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_26ACDA9D,Local/regional public,Glenn-Colusa Irrigation District drainage system,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Glenn-Colusa Irrigation District drainage system|||,PRJ_2598C9AE
CVY_26D146DD,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_26D73479,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_27302BDB,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
