"acec_id","component_id","current_field_office_key","current_field_office_code","current_field_office_name","intersection_area_m2","intersection_area_acres","percent_of_acec_area","acec_context_class","source_context_qa_class","relationship_method","minimum_intersection_area_m2","complete_coverage_percent","boundary_snapshot_date","derivation_date","confidence"
"acec-6dfe9441073c8e","blmca-5301616b-bb38-4100-9bb8-1517263940bb","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",48180902.870845,11905.760383333,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-1fe131d30ed452","blmca-aad34c8b-c4c6-47ff-b0b1-a03742303557","el_centro_field_office","CAD07000","El Centro Field Office",381146975.191891,94183.468699848,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0816659292b860","blmca-2c2689c2-662b-45a4-8fee-d94f3d738800","arcata_field_office","CAN03000","Arcata Field Office",43763172.865968,10814.115525258,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0e71475d6309f6","blmca-0c762629-ffad-4e2d-a9a6-55ff6c2ab8b2","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",256460368.973055,63372.737306297,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-57790de833c6bf","blmca-8f21d46c-0514-4fbe-9260-5fe99e2fdfb3","applegate_field_office","CAN02000","Applegate Field Office",6761417.299075,1670.782600947,99.5893116,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-57790de833c6bf","blmca-8f21d46c-0514-4fbe-9260-5fe99e2fdfb3","eagle_lake_field_office","CAN05000","Eagle Lake Field Office",27882.868538,6.890006866,0.4106884,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-cad1fda48e9eb6","blmca-0f942396-6e06-406a-9fb2-a09b150b04ed","bakersfield_field_office","CAC06000","Bakersfield Field Office",16778816.843216,4146.135936611,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-6930ea9dede380","blmca-a40a1225-05e6-438b-980b-1b0e15bfcf71","bishop_field_office","CAC07000","Bishop Field Office",159640550.120052,39448.039035044,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-6b0bfc8e7385f1","blmca-5d7797b6-51f4-4388-9b2d-9a96c1ec9229","redding_field_office","CAN06000","Redding Field Office",11740742.164733,2901.200571324,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-a2c380fb602c87","blmca-7c481b82-27c8-4daa-999b-839961b59d7e","central_coast_field_office","CAC09000","Central Coast Field Office",29401665.03138,7265.309653349,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
