"layer_id","duplicate_type","key","count"
"usgs_wells","same rounded coordinate","-121.255227,38.594072",5
"usgs_wells","same rounded coordinate","-121.370972,38.054611",5
"usgs_wells","same rounded coordinate","-121.428842,38.56435",5
"usgs_wells","same rounded coordinate","-121.903222,37.316167",5
"usgs_wells","same rounded coordinate","-122.15585,37.667819",5
"usgs_wells","same rounded coordinate","-114.736072,33.500046",4
"usgs_wells","same rounded coordinate","-115.05436,33.673688",4
"usgs_wells","same rounded coordinate","-115.54333,32.745058",4
"usgs_wells","same rounded coordinate","-115.543885,32.744502",4
"usgs_wells","same rounded coordinate","-115.555266,33.190872",4
"usgs_wells","same rounded coordinate","-115.563044,33.19115",4
"usgs_wells","same rounded coordinate","-116.042501,34.127521",4
"usgs_wells","same rounded coordinate","-116.246399,34.278612",4
"usgs_wells","same rounded coordinate","-116.280386,34.307103",4
"usgs_wells","same rounded coordinate","-116.368095,36.28329",4
"usgs_wells","same rounded coordinate","-116.373372,36.237457",4
"usgs_wells","same rounded coordinate","-116.378511,34.128172",4
"usgs_wells","same rounded coordinate","-116.412513,34.129451",4
"usgs_wells","same rounded coordinate","-116.6452,34.928358",4
"usgs_wells","same rounded coordinate","-116.645369,34.85125",4
"usgs_wells","same rounded coordinate","-116.665706,33.540656",4
"usgs_wells","same rounded coordinate","-116.683272,35.260861",4
"usgs_wells","same rounded coordinate","-116.684008,33.923608",4
"usgs_wells","same rounded coordinate","-116.693639,33.925164",4
"usgs_wells","same rounded coordinate","-116.755036,34.903989",4
"usgs_wells","same rounded coordinate","-116.771684,33.91946",4
"usgs_wells","same rounded coordinate","-116.81845,33.921464",4
"usgs_wells","same rounded coordinate","-116.851344,33.9253",4
"usgs_wells","same rounded coordinate","-116.883722,34.873814",4
"usgs_wells","same rounded coordinate","-116.901134,33.73141",4
"usgs_wells","same rounded coordinate","-116.927306,33.936389",4
"usgs_wells","same rounded coordinate","-116.928267,34.460489",4
"usgs_wells","same rounded coordinate","-116.935542,34.8791",4
"usgs_wells","same rounded coordinate","-116.940072,34.878172",4
"usgs_wells","same rounded coordinate","-116.947153,33.954133",4
"usgs_wells","same rounded coordinate","-116.953303,34.880858",4
"usgs_wells","same rounded coordinate","-116.962706,34.880761",4
"usgs_wells","same rounded coordinate","-116.967802,33.751131",4
"usgs_wells","same rounded coordinate","-116.99655,34.891461",4
"usgs_wells","same rounded coordinate","-117.006414,33.774742",4
"usgs_wells","same rounded coordinate","-117.023333,32.672778",4
"usgs_wells","same rounded coordinate","-117.035878,34.046825",4
"usgs_wells","same rounded coordinate","-117.036392,34.012917",4
"usgs_wells","same rounded coordinate","-117.127997,34.897428",4
"usgs_wells","same rounded coordinate","-117.162578,34.8571",4
"usgs_wells","same rounded coordinate","-117.188314,34.495039",4
"usgs_wells","same rounded coordinate","-117.192534,33.305311",4
"usgs_wells","same rounded coordinate","-117.202257,33.704743",4
"usgs_wells","same rounded coordinate","-117.213099,34.456944",4
"usgs_wells","same rounded coordinate","-117.230321,34.468332",4
"usgs_wells","same rounded coordinate","-117.233932,34.361114",4
"usgs_wells","same rounded coordinate","-117.237408,34.388225",4
"usgs_wells","same rounded coordinate","-117.252447,34.470519",4
"usgs_wells","same rounded coordinate","-117.265042,34.150843",4
"usgs_wells","same rounded coordinate","-117.269969,34.09855",4
"usgs_wells","same rounded coordinate","-117.277017,34.529411",4
"usgs_wells","same rounded coordinate","-117.280689,34.468069",4
"usgs_wells","same rounded coordinate","-117.283911,34.069481",4
"usgs_wells","same rounded coordinate","-117.308089,34.096161",4
"usgs_wells","same rounded coordinate","-117.308936,34.769152",4
"usgs_wells","same rounded coordinate","-117.311744,34.115114",4
"usgs_wells","same rounded coordinate","-117.326992,34.756653",4
"usgs_wells","same rounded coordinate","-117.330189,34.099919",4
"usgs_wells","same rounded coordinate","-117.336437,34.769708",4
"usgs_wells","same rounded coordinate","-117.352989,34.674592",4
"usgs_wells","same rounded coordinate","-117.372681,34.134511",4
"usgs_wells","same rounded coordinate","-117.377739,34.103111",4
"usgs_wells","same rounded coordinate","-117.4007,34.134289",4
"usgs_wells","same rounded coordinate","-117.721732,35.634678",4
"usgs_wells","same rounded coordinate","-117.807555,33.701408",4
"usgs_wells","same rounded coordinate","-117.919234,34.822759",4
"usgs_wells","same rounded coordinate","-118.000167,33.935956",4
"usgs_wells","same rounded coordinate","-118.058747,33.847258",4
"usgs_wells","same rounded coordinate","-118.070139,34.008389",4
"usgs_wells","same rounded coordinate","-118.070917,34.00775",4
"usgs_wells","same rounded coordinate","-118.122106,34.007861",4
"usgs_wells","same rounded coordinate","-118.130461,34.66815",4
"usgs_wells","same rounded coordinate","-118.138962,34.661931",4
"usgs_wells","same rounded coordinate","-118.154503,34.596167",4
"usgs_wells","same rounded coordinate","-118.223264,33.796419",4
"usgs_wells","same rounded coordinate","-118.241111,33.836944",4
"usgs_wells","same rounded coordinate","-118.256583,33.923406",4
"usgs_wells","same rounded coordinate","-118.293053,33.908969",4
"usgs_wells","same rounded coordinate","-118.324572,33.960239",4
"usgs_wells","same rounded coordinate","-118.326184,33.842516",4
"usgs_wells","same rounded coordinate","-118.468344,34.028494",4
"usgs_wells","same rounded coordinate","-118.795685,37.632988",4
"usgs_wells","same rounded coordinate","-118.966767,35.325515",4
"usgs_wells","same rounded coordinate","-119.043436,34.268614",4
"usgs_wells","same rounded coordinate","-119.079827,34.343055",4
"usgs_wells","same rounded coordinate","-119.085083,35.541528",4
"usgs_wells","same rounded coordinate","-119.094828,35.109688",4
"usgs_wells","same rounded coordinate","-119.106493,34.120006",4
"usgs_wells","same rounded coordinate","-119.125662,34.268892",4
"usgs_wells","same rounded coordinate","-119.13316,34.124172",4
"usgs_wells","same rounded coordinate","-119.134827,34.113895",4
"usgs_wells","same rounded coordinate","-119.215386,34.151949",4
"usgs_wells","same rounded coordinate","-119.215941,34.145838",4
"usgs_wells","same rounded coordinate","-119.249554,34.204171",4
"usgs_wells","same rounded coordinate","-119.280667,35.204409",4
"usgs_wells","same rounded coordinate","-119.403726,35.353295",4
"usgs_wells","same rounded coordinate","-119.439005,35.601902",4
"usgs_wells","same rounded coordinate","-119.534288,35.88801",4
"usgs_wells","same rounded coordinate","-119.542125,34.897717",4
"usgs_wells","same rounded coordinate","-119.595256,34.931158",4
"usgs_wells","same rounded coordinate","-119.596513,35.94662",4
"usgs_wells","same rounded coordinate","-119.634864,36.716551",4
